Année,Source de financement,BS,BE,FR,GE,LS,LU,NE,SG,UZH,USI,EPFL,ETHZ,FS-CH,IHEID
1999,Confédération: enveloppe budgétaire EPF,0,0,0,0,0,0,0,0,0,0,310802000,690010000,...,...
1999,Frais centraux de la haute école couverts par des overheads,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1999,Financement de projets de l'UE par le FNS (dès 2015),0,0,0,0,0,0,0,0,0,0,0,0,...,...
1999,"Déduction des dépenses non universitaires (FNRS, jusqu'en 1999)",0,0,0,0,0,0,0,0,0,0,0,0,...,...
1999,Projets du FNS,29051891,38630623,11463086,47036734,30009084,202704,10269255,1227272,39339774,596346,21515000,31694000,...,...
1999,Projets de Innosuisse (autrefois CTI),0,0,163851,0,932440,0,2734607,619865,1024361,0,14337000,13476000,...,...
1999,Programmes de recherche de l'UE,1616,0,727467,0,3101949,0,1635457,0,1699165,0,0,0,...,...
1999,Autres programmes internationaux,3652,0,319351,0,0,0,31000,229971,2692440,0,5558000,0,...,...
1999,Mandats de recherche de la Confédération,75226,18671542,7616202,0,1185595,0,1151464,0,14789781,0,0,24966000,...,...
1999,"Mesures spéciales (subv. Extraord. LAU, jusqu'en 1999)",3518911,0,1239155,0,0,55000,0,1634799,4253186,0,32430000,1719000,...,...
1999,"Programmes prioritaires (PPR, jusqu'en 1999)",0,0,0,0,0,0,4764412,0,13659,0,0,15477000,...,...
1999,Programmes COST (jusqu'en 1999),20000,0,91790,0,472206,0,10605,0,187772,0,1449000,1247000,...,...
1999,Financement de projets de l'UE par le SEFRI,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1999,Mandats de recherche du secteur privé,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1999,Mandats de recherche des autres collectivités publiques,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1999,Revenus des prestations de service,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1999,Revenus de la formation continue,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1999,Canton: mandats publics (jusqu'en 1999),312827,1438373,464219,0,345460,0,250982,43400,4125745,0,3963000,0,...,...
1999,Autres cantons: mandats publics (jusqu'en 1999),942339,0,691438,0,0,0,678091,94883,1029623,0,0,1079000,...,...
1999,Communes: mandats publics (jusqu'en 1999),0,0,126241,0,0,0,35009,71698,134795,0,0,0,...,...
1999,Economie privée (jusqu'en 1999),3466926,18393959,13144600,75861869,0,0,7509649,38465821,16089075,0,18381000,46239000,...,...
1999,Fondations privées (jusqu'en 1999),939753,0,163604,0,0,32514,1811828,6366861,10765711,385000,0,5154000,...,...
1999,Revenu de la fortune de l'université (jusqu'en 1999),4871004,0,0,0,0,0,443984,1194929,404601,0,0,0,...,...
1999,"Déduction des dépenses non universitaires (Crédit de tiers, jusqu'en 1999)",0,0,0,0,0,0,0,0,0,0,0,0,...,...
1999,Autres sources externes (jusqu'en 1999),20248230,40631705,0,0,53499091,226983,2636188,66764,1978197,56200,0,0,...,...
2000,Ecolage,7817891,10697292,6696135,8832451,9947694,561565,2104443,5121139,20123778,5048871,3618641,7544000,...,...
2000,Autres moyens propres de la haute école,10332901,35627798,3104483,6164034,6848231,62526,1437764,22066526,70705179,1325236,0,8645505,...,...
2000,Canton universitaire: couverture ou budget,68897623,245707887,40931024,298838901,137033958,5450275,41890719,16762711,356557096,7997771,0,0,...,...
2000,Canton: imputations internes (jusqu'en 1999),0,0,0,0,0,0,0,0,0,0,0,0,...,...
2000,Autres cantons: accord intercantonal universitaire,24001202,50528774,46322075,28841979,32954969,955252,11515854,20791346,89190984,7842805,0,0,...,...
2000,Autres cantons: autres subventions,64795176,84481,0,99306,0,251525,0,0,0,0,0,0,...,...
2000,"Confédération: contributions aux investissements figurant dans le compte courant, selon LEHE (autrefois LAU)",3876274,0,2283897,1498790,1679888,0,0,1153452,0,0,0,0,...,...
2000,"Confédération: contributions liées à des projets de coopération et d'innovation, selon LEHE (autrefois LAU)",1705559,2453631,1719975,2881681,263125,53669,624349,0,4069614,129800,0,0,...,...
2000,Confédération: autres subventions,1284166,0,3290950,4071532,2470449,0,607320,228577,0,0,0,0,...,...
2000,Fondations,3582592,0,519876,81656,0,79012,0,0,0,0,0,0,...,...
2000,Communes (jusqu'en 1999),0,0,0,0,0,0,0,0,0,0,0,0,...,...
2000,"Déduction des dépenses non universitaires (budget ordinaire, jusqu'en 1999)",0,0,0,0,0,0,0,0,0,0,0,0,...,...
2000,Confédération: subventions de base LEHE (autrefois LAU),29837305,56592540,41785201,59807501,45832508,1235815,17427919,16568248,67734568,4496700,0,0,...,...
2000,Confédération: enveloppe budgétaire EPF,0,0,0,0,0,0,0,0,0,0,327755359,749096495,...,...
2000,Frais centraux de la haute école couverts par des overheads,0,0,0,0,0,0,0,0,0,0,0,0,...,...
2000,Financement de projets de l'UE par le FNS (dès 2015),0,0,0,0,0,0,0,0,0,0,0,0,...,...
2000,"Déduction des dépenses non universitaires (FNRS, jusqu'en 1999)",0,0,0,0,0,0,0,0,0,0,0,0,...,...
2000,Projets du FNS,30851875,32702491,11019447,44870699,32244147,121322,11428346,858000,36554878,701980,20613553,30650000,...,...
2000,Projets de Innosuisse (autrefois CTI),980080,1274371,379715,939827,1206866,0,2585354,865649,1637656,0,15316861,12352000,...,...
2000,Programmes de recherche de l'UE,610440,4043559,1605518,6328023,1927661,0,1101942,0,1897209,0,20196815,11293679,...,...
2000,Autres programmes internationaux,1024926,6549207,334388,3701365,1005720,0,118192,0,3133917,0,0,0,...,...
2000,Mandats de recherche de la Confédération,3447477,9071439,3793527,7924929,1278545,0,1295326,0,14413281,0,13045999,23472321,...,...
2000,"Mesures spéciales (subv. Extraord. LAU, jusqu'en 1999)",0,0,0,0,0,0,0,0,0,0,0,0,...,...
2000,"Programmes prioritaires (PPR, jusqu'en 1999)",0,0,0,0,0,0,0,0,0,0,0,0,...,...
2000,Programmes COST (jusqu'en 1999),0,0,0,0,0,0,0,0,0,0,0,0,...,...
2000,Financement de projets de l'UE par le SEFRI,0,0,0,0,0,0,0,0,0,0,0,0,...,...
2000,Mandats de recherche du secteur privé,20763722,8171657,5807397,38455703,38291333,360226,10014464,20403530,31900287,603725,20840531,41685000,...,...
2000,Mandats de recherche des autres collectivités publiques,148182,9756733,1002825,6983157,421749,12583,822577,0,6016818,0,3117780,950000,...,...
2000,Revenus des prestations de service,3117476,27653288,5553007,12376043,9327821,0,2075734,0,2523090,0,2850205,0,...,...
2000,Revenus de la formation continue,436925,4256304,2063667,8397170,4032425,0,453674,21389821,0,730432,1264434,0,...,...
2000,Canton: mandats publics (jusqu'en 1999),0,0,0,0,0,0,0,0,0,0,0,0,...,...
2000,Autres cantons: mandats publics (jusqu'en 1999),0,0,0,0,0,0,0,0,0,0,0,0,...,...
2000,Communes: mandats publics (jusqu'en 1999),0,0,0,0,0,0,0,0,0,0,0,0,...,...
2000,Economie privée (jusqu'en 1999),0,0,0,0,0,0,0,0,0,0,0,0,...,...
2000,Fondations privées (jusqu'en 1999),0,0,0,0,0,0,0,0,0,0,0,0,...,...
2000,Revenu de la fortune de l'université (jusqu'en 1999),0,0,0,0,0,0,0,0,0,0,0,0,...,...
2000,"Déduction des dépenses non universitaires (Crédit de tiers, jusqu'en 1999)",0,0,0,0,0,0,0,0,0,0,0,0,...,...
2000,Autres sources externes (jusqu'en 1999),0,0,0,0,0,0,0,0,0,0,0,0,...,...
2001,Ecolage,7131063,10991968,6838508,9012422,9781126,668621,2158319,5381415,20644656,5888864,3126316,7488200,...,...
2001,Autres moyens propres de la haute école,12535659,37363816,3102617,6150916,3914464,249528,731339,18737098,72126130,2139273,3616851,11790600,...,...
2001,Canton universitaire: couverture ou budget,76659592,253545022,45509722,318365110,140176210,6808417,44833512,18079334,409483269,8500000,0,0,...,...
2001,Canton: imputations internes (jusqu'en 1999),0,0,0,0,0,0,0,0,0,0,0,0,...,...
2001,Autres cantons: accord intercantonal universitaire,25091501,56708419,47238461,29115245,37823245,880174,11542988,21413781,100449488,9814215,0,0,...,...
2001,Autres cantons: autres subventions,75947750,0,0,99400,0,0,25000,0,0,0,0,0,...,...
2001,"Confédération: contributions aux investissements figurant dans le compte courant, selon LEHE (autrefois LAU)",2421068,0,2564628,1567513,4667859,0,0,1934761,0,0,0,0,...,...
